Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
935,2.194862570504121,2.122293629705007,2.069586787661686,2.1626252231546306,1.9105261980960462,2.1917209021275097,,
936,2.1948087558329594,2.1222231152374174,2.0691125557217456,2.1623824615942873,1.910444342259366,2.191369247493037,,
937,2.194585542576783,2.1219399817993794,2.06845783334314,2.1622528653069235,1.910272848048223,2.1910782200204904,,
938,2.1942358358557894,2.1216829702218183,2.0681487724820395,2.161936997089789,1.9102088411311098,2.1909297635155514,,
939,2.1941039741417945,2.12148845776302,2.067873423673269,2.1616452226049745,1.9100068136868344,2.1909186755385575,,
940,2.1940915628380515,2.121217797172976,2.0675453521956864,2.1615372683143934,1.9096488980652568,2.1905337046130664,,
941,2.1938305473417548,2.121091470917032,2.067200278538425,2.1614181298424415,1.9094188903195175,2.190342011416349,,
942,2.1937130220586156,2.1206202648806878,2.067140651523193,2.1609111437423136,1.909236929756947,2.190032333326534,,
943,2.1934547799725044,2.120173057629122,2.066977685921491,2.16046540856967,1.9088700986969718,2.189936566537235,,
944,2.1933327787389847,2.1198632789993317,2.0666789902331115,2.1603038611466245,1.9086719463076955,2.189879922101093,,
945,2.1930043754393473,2.119678966854755,2.066353186615228,2.1601911364020445,1.9083896029674277,2.189577642601381,,
946,2.192940952558746,2.119554321505729,2.0658659977890945,2.159895169563218,1.908312224551779,2.189434721705456,,
947,2.192807537332037,2.1191052134209745,2.0657414285911035,2.159547447303934,1.9080183683826093,2.189064269780549,,
948,2.1922267833026683,2.1187113086534564,2.0651330273397592,2.159472621772019,1.9078124839032296,2.1888692225349105,,
949,2.192009587642064,2.118493708412409,2.064925524257354,2.1593541781502905,1.9075147998279873,2.1885465043910934,,
950,2.191757496730994,2.1184127522666407,2.0648860198042747,2.1587788312841227,1.9071761638079867,2.188140331316467,,
951,2.1916614358909876,2.1182312456537415,2.064409749678626,2.158634433661251,1.9068048632866728,2.1879116990543284,,
952,2.1914472423840596,2.1181093273040297,2.063762547302908,2.158487575944774,1.9066428434883247,2.1877114393102604,,
